speed	internet	motorola	connection	service	docsis	signal	easy	box	minute	
strength	ip	streaming	signal	voip	sb	netflix	lousy	tivo	warrantee	
light	id	instruction	mac	blue	manual	direction	decent	code	xbox	
router	computer	wireless	money	linksys	equipment	power	ethernet	switch	amplifier	
price	feature	lousy	size	worth	longer	happier	design	today	linksy	
mbp	mbps	wiring	ping	min	offline	static	properties	closest	intermittent	
simple	pc	laptop	computer	tv	windows	mac	glass	television	desktop	
model	support	tech	speedtest	dbmv	sticker	advice	hz	significant	explanation	
mbp	speed	list	star	download	setting	web	deal	rating	weak	
number	picture	tv	video	account	serial	movie	phone	game	hd	
address	mac	place	number	company	friend	serial	highest	rep	password	
upstream	wall	faulty	disconnection	power	addition	firmware	lack	interruption	fix	
activation	chance	rid	pixelated	motorolum	fix	impossible	ubee	happier	faster	
network	performance	home	reliability	window	cost	gigabit	regular	dn	rent	
case	small	glad	dbmv	arris	warrantee	techie	ca	slower	helpful	
average coherence	-141.85315808758898
