monitor	screen	tablet	price	display	app	video	device	android	lcd	
reason	star	main	apparent	wifus	gamer	satisfactory	bulkier	faster	yesterday	
money	camera	higher	decent	music	left	house	adequate	worth	construction	
battery	life	adapter	hub	router	hour	power	switch	wifus	charge	
sd	card	question	period	impressed	slot	port	internal	full	vibrant	
due	entertainment	past	size	numerous	mother	thousand	gamer	located	usable	
cheap	free	bulky	affordable	preset	shipping	fancy	pen	newer	internal	
game	hook	screw	snap	slower	gamer	additional	today	impossible	vibrant	
color	picture	setting	contrast	bright	sharp	brightness	text	clear	resolution	
touch	cool	hot	pain	africa	school	heat	temperature	fear	shame	
case	keyboard	small	notebook	cpu	cover	charger	typing	key	printer	
micro	trinitron	card	sd	crt	library	viewable	easier	newer	ultra	
attempt	impressive	wifus	vibrant	yesterday	brighter	detailed	newer	alot	saver	
sony	samsung	hp	windows	dell	toshiba	monitor	acer	motorola	kindle	
button	hand	book	glass	frame	plastic	dollar	foot	head	front	
average coherence	-145.43510195469202
