headlamp	bulb	easy	price	clamp	tv	reading	small	head	petzl	
money	strap	deal	book	glad	bag	stand	head	big	pack	
red	white	black	filter	lens	clear	yellow	diamond	color	orange	
hour	minute	true	tv	email	phone	newer	worth	brighter	business	
bright	led	super	genuine	fancy	affordable	flimsy	comfortable	lite	longer	
weak	versatile	break	practical	newer	hole	plenty	alot	impressed	unable	
extra	mother	magnifying	earlier	cheaper	sturdy	helpful	rockler	jellyfish	jellyfish	
similar	worth	wattage	helpful	longer	outage	main	delivery	awkward	power	
night	christmas	vision	dog	bulky	action	magnifying	bedside	ott	kreg	
setting	brightness	high	solution	focused	located	earlier	rockler	sturdy	middle	
mode	difference	button	range	push	sort	bedside	comparison	unable	easier	
battery	life	case	water	floor	wood	compartment	computer	long	cover	
idea	wide	wrong	hesitant	flimsy	needless	kreg	focused	biggest	helpful	
place	house	simple	life	car	home	office	equipment	reading	race	
sony	toshiba	handy	bulb	original	replacement	howell	phillips	bell	lamps	
average coherence	-134.51980557813798
