app	ipad	screen	device	android	easy	battery	price	stylus	review	
case	cover	keyboard	sd	card	charger	printer	typing	ipad	small	
big	responsive	end	screen	touch	opinion	system	stock	ziio	�	
friend	artist	student	pack	today	photo	gallery	official	apps	album	
pen	button	paper	mouse	photo	nib	bigger	text	scroll	mode	
computer	radio	wifi	mouse	vista	laptop	ic	safe	yesterday	intuo	
plastic	glass	clip	ink	protector	electronics	metal	technology	paint	proprietary	
case	leather	toshiba	college	happier	worth	school	sturdy	recent	nib	
pain	frustration	ease	hope	surprised	surprise	thought	disappointed	regret	disappointment	
version	decent	bulky	wide	interested	codec	bezel	technique	im	handed	
email	phone	complaint	website	cell	address	facebook	appslib	impressed	sluggish	
tech	material	support	performance	potential	mail	present	result	velocity	finish	
word	works	production	interior	marketing	worth	sale	hr	ntilde	horrible	
money	option	purchase	christmas	customer	huge	future	gift	buy	service	
minor	soft	poor	major	left	higher	card	wider	class	photograph	
average coherence	-142.93040750705995
