ipod	player	zen	creative	screen	vision	device	song	apple	easy	
warranty	service	model	replacement	drawback	part	refund	bonus	delivery	special	
intuitive	main	luck	size	birthday	email	weight	reasonable	term	everyday	
case	small	charger	screen	protective	cover	scratch	leather	bag	pouch	
star	real	scratch	person	machine	investment	present	house	equipment	cut	
button	fm	radio	tuner	recorder	folder	jukebox	recording	removable	dongle	
movie	separate	hell	limited	invisible	rca	book	overdrive	heaven	versatile	
battery	life	wall	app	slide	hr	circuit	majority	board	city	
video	music	audio	photo	sound	playlist	picture	file	format	software	
sd	card	eq	bass	setting	cycle	boost	hot	worse	quirk	
kinda	chapter	horrible	zens	iaudio	flashtrax	tiny	jack	trial	job	
adapter	usb	cable	blah	worth	previous	yesterday	unbelievable	horrible	today	
point	line	menu	microphone	effect	icon	curve	plenty	tap	bigger	
version	decent	bulky	codec	wide	definition	impatient	pro	school	frustrating	
computer	tv	money	radio	cable	car	usb	light	show	stereo	
average coherence	-146.02524098449888
