cup	easy	small	warm	lid	minute	pot	clean	bottom	review	
inexpensive	inside	larger	present	eater	detail	picture	receipt	crunchy	postage	
kitchen	stove	home	retractable	house	appliance	dishwasher	top	counter	space	
couple	single	everytime	careful	person	double	larger	crunchy	catcher	mother	
fast	college	method	veggy	bigger	worth	today	cheaper	previous	entire	
mess	stick	towel	paper	counter	oil	waste	basis	safe	catcher	
water	cup	grain	vegetable	uncooked	bread	option	steam	bean	mark	
dinner	breakfast	christmas	gift	timer	ease	wedding	lunch	hurry	birthday	
steamer	pot	spoon	tray	spatula	plastic	basket	crock	insert	holder	
brown	white	black	light	decker	taste	basmatus	jasmine	wild	rest	
average coherence	-1271.8962174235403
