network	netgear	connection	support	device	easy	firmware	setup	signal	speed	
port	usb	separate	drive	printer	ethernet	forwarding	server	stock	gigabit	
rock	waste	paper	mess	stick	similar	clean	linksy	pool	numerous	
hard	drive	external	usb	frustration	surprise	ridiculous	parameter	disappointment	shame	
negative	review	positive	reservation	linksy	foreign	larger	operating	worst	horrible	
seconds	wrong	dead	upstairs	wide	terrific	spot	similar	detailed	previous	
setting	media	utility	server	communication	security	environment	electronics	correct	alot	
computer	laptop	printer	money	tv	video	network	movie	windows	radio	
range	speed	difference	frequency	increase	ghz	upload	worse	maximum	faster	
wall	floor	blue	light	house	black	bright	signal	green	basement	
average coherence	-1326.7554672470815
