Alarm Clock	-1150.2320131393276
Amplifier	-1227.5286176347804
Battery	-1161.5961333867247
Blu Ray Player	-1363.4516535028208
Cable Modem	-1195.1102660748904
Camcorder	-1269.0444791579505
Camera	-1279.9424975521683
Car Stereo	-1257.7987784346935
CDPlayer	-1156.0617238815998
CellPhone	-1187.003223716963
Computer	-1387.4491858130627
DVDPlayer	-1210.7721348768516
Fan	-1181.6231003516352
GPS	-1291.7858855827494
Graphics Card	-1309.5526978586045
HardDrive	-1212.8452505151733
Headphone	-1185.2166484164743
Home Theater System	-1282.9697565780662
Iron	-1277.7694606854689
Keyboard	-1193.6897127776333
Kindle	-1175.577857068109
Lamp	-1142.4525893437947
Laptop	-1186.0205781623304
Media Player	-1386.3906515364256
Memory Card	-1128.277509305445
Microphone	-1150.486154981129
Microwave	-1250.7253550140156
Monitor	-1281.4856676973225
Mouse	-1196.9623715389778
MP3 Player	-1248.5994211249083
Network Adapter	-1215.10764993182
Printer	-1346.1049310271665
Projector	-1298.9756597498797
Radar Detector	-1252.8192121780085
Remote Control	-1213.1139381126263
Rice Cooker	-1181.1169326347297
Scanner	-1302.0279624878308
Speaker	-1189.4969362420627
Subwoofer	-1215.9716775800453
Tablet	-1305.721607727555
Telephone	-1177.5507921184208
TV	-1281.69224404531
Vacuum	-1232.5807155886073
Video Player	-1347.0233963130736
Video Recorder	-1303.6433540351165
Voice Recorder	-1217.2570080160926
Watch	-1181.4207314000894
Webcam	-1201.2528058739524
Wireless Router	-1281.6476451135948
Xbox	-1214.97330663603
average : -1237.758397650442
