laptop	computer	external	file	case	price	digital	datum	pc	easy	
device	money	camera	memeo	automatic	convenient	cheaper	slave	biggest	waste	
wrong	slot	lap	lack	platform	continuous	snap	fan	intermittent	hole	
keyboard	point	line	mouse	gig	color	inch	previous	touchpad	edge	
athlon	pentium	slower	faster	previous	startech	archo	desktop	computer	dell	
couple	single	seconds	careful	helpful	today	crazy	limit	situation	double	
software	video	music	picture	movie	dvd	backup	file	photo	option	
usb	battery	cable	port	sata	power	firewire	connection	life	cord	
driver	screw	screwdriver	tool	inexpensive	release	similar	impressed	bigger	xp	
function	array	bag	pavilion	ship	decision	pouch	im	horrible	dependable	
window	machine	hardware	software	decent	canvio	works	select	brick	house	
operating	system	main	breeze	temp	term	acceptable	age	slower	unnecessary	
computer	star	connector	cable	larger	worse	canvio	circuit	regular	motherboard	
black	blue	cheap	bright	green	screen	caviar	virtual	wd	white	
light	sound	heavy	computer	hand	touch	screen	range	monitor	cover	
impressed	impressive	purchase	purchase	purchase	purchase	purchase	purchase	purchase	purchase	
minute	canvio	sturdy	entire	today	meg	led	purchase	purchase	purchase	
significant	similar	larger	pro	numerous	motherboard	fry	mybook	yesterday	handy	
faster	brother	worse	canvio	significant	archo	memeo	handy	purchase	purchase	
numerous	macpower	additional	past	canvio	worth	recent	beware	purchase	purchase	
larger	helpful	impressed	proprietary	significant	memeo	purchase	purchase	purchase	purchase	
macpower	helpful	impressed	folder	purchase	purchase	purchase	purchase	purchase	purchase	
numerous	similar	worse	significant	today	biggest	im	inside	purchase	purchase	
rate	transfer	radeon	impossible	today	horrible	purchase	purchase	purchase	purchase	
brother	helpful	similar	worth	sturdy	significant	previous	purchase	purchase	purchase	
average coherence	-877.6448832230427
