screen	finger	tip	fire	price	device	end	clip	case	small	
wrong	wide	needless	slow	cheaper	sturdy	boxwave	entire	helpful	amazonbasics	
rubber	plastic	cloth	tip	screen	button	paper	metal	glass	bamboo	
typing	service	price	order	reasonable	area	worth	delivery	finer	slim	
responsive	compact	bluetooth	drawing	film	digital	sync	balanced	past	worth	
precise	samsung	targus	buck	tablet	asus	griffin	acer	hp	cross	
hand	retractable	nail	larger	arm	head	book	heavier	spring	sturdy	
keyboard	touchscreen	inexpensive	touchpad	hp	rubbery	usable	oils	nub	easier	
point	star	line	pen	ball	worth	classy	luck	tap	easier	
app	handy	penultimate	note	acase	word	motorola	fast	quick	xoom	
pen	touch	iphone	phone	money	ipod	cable	car	pressure	usb	
accessory	bag	shirt	spare	greasy	pricey	today	accurate	boxwave	nib	
place	friend	boxwave	frustrating	bookgem	company	heavier	similar	process	person	
favorite	ccm	saver	boxwave	amazonbasics	flimsy	previous	portrait	landscape	push	
bubble	picture	scratch	dust	web	slide	instruction	tape	elago	ii	
worth	boxwave	similar	nataal	pad	pad	pad	pad	pad	pad	
worth	past	larger	boxwave	impossible	impressed	pad	pad	pad	pad	
boxwave	acase	worth	impressed	additional	pad	pad	pad	pad	pad	
longer	happier	plenty	shorter	impressed	pricey	pad	pad	pad	pad	
boxwave	usable	smoother	amazonbasics	amazonbasic	pad	pad	pad	pad	pad	
amazonbasic	additional	sturdy	worth	easier	pad	pad	pad	pad	pad	
amazonbasic	sturdy	thicker	pad	pad	pad	pad	pad	pad	pad	
droid	boxwave	horrible	bookgem	past	handwritten	pad	pad	pad	pad	
heavier	easier	pad	pad	pad	pad	pad	pad	pad	pad	
shorter	boxwave	helpful	amazonbasics	impressed	refill	pad	pad	pad	pad	
average coherence	-867.9139249191611
