software	logitech	skype	easy	video	computer	price	windows	driver	feature	
review	decent	company	instant	intuitive	communication	neat	glitch	socialize	everyday	
kind	feedback	smart	limited	reduction	stupid	grandkid	newer	specific	lifecam	
money	device	term	gb	worth	ft	drawback	slight	duo	mother	
gig	return	ram	recognition	opportunity	money	feedback	toy	point	party	
member	customer	page	minus	toucam	easier	slight	manufacturer	engineer	parent	
cam	web	head	easier	streaming	laptop	snap	hook	feedback	ram	
usb	laptop	port	cable	ghz	foot	ram	grandkid	impressed	specific	
purchase	option	buy	price	christmas	huge	luck	ease	detail	utility	
works	media	word	creative	labs	similar	worth	sale	skype	access	
monitor	screen	window	picture	lens	laptop	lcd	desk	clip	glass	
friend	setting	couple	kid	rightlight	parent	dim	relative	newer	home	
video	picture	light	sound	audio	clear	low	image	lighting	dark	
star	machine	button	real	point	person	photo	smooth	impressed	capable	
pc	home	similar	conferencing	mac	market	office	separate	shipping	manufacturer	
brother	rightlight	helpful	dont	clearer	capable	skyping	real	real	real	
impressed	today	grandkid	real	real	real	real	real	real	real	
alot	red	mac	real	real	real	real	real	real	real	
dylib	sturdy	live	windows	real	real	real	real	real	real	
lifecam	worst	fix	impressed	real	real	real	real	real	real	
worth	brother	unable	grandkid	dylib	real	real	real	real	real	
ghz	newer	dylib	grainy	hundred	real	real	real	real	real	
package	ghz	horrible	dylib	mother	hundred	skyping	real	real	real	
mic	past	real	real	real	real	real	real	real	real	
worth	fix	mother	real	real	real	real	real	real	real	
average coherence	-829.7014591199467
