sound	light	button	easy	display	night	feature	loud	minute	snooze	
attention	movement	older	sturdy	doesnt	bonus	toy	memory	money	point	
price	point	everyday	intuitive	fake	crosse	reliability	memory	regular	accurate	
temperature	kind	cycle	light	sensitive	worse	regular	slow	weather	wind	
part	zone	school	favorite	variety	class	similar	wide	portion	sweep	
phone	customer	cell	local	fancy	service	website	affordable	cheap	distinct	
christmas	rain	birthday	readable	thunderstorm	storm	winter	summer	trooper	harder	
noise	plastic	china	addition	defective	junk	half	drawback	quick	impossible	
power	outage	size	location	positive	improvement	accurate	reality	faint	interesting	
option	purchase	home	house	huge	gift	buy	college	accurate	close	
cool	quiet	seconds	vader	handy	negative	neat	asleep	awakening	horrible	
works	word	operation	internal	hr	readable	worth	today	doesnt	access	
battery	radio	light	color	number	red	white	blue	dim	backup	
money	picture	photo	watch	device	music	waste	accurate	jarring	stereo	
bed	sound	soother	image	sharper	table	desk	wall	background	soothing	
inch	plenty	end	end	end	end	end	end	end	end	
crosse	bought	regular	located	unique	projection	end	end	end	end	
file	awake	end	end	end	end	end	end	end	end	
accurate	readable	today	impressed	end	end	end	end	end	end	
located	accurate	readable	mother	end	end	end	end	end	end	
past	brother	end	end	end	end	end	end	end	end	
bought	flimsy	located	larger	end	end	end	end	end	end	
accurate	impressed	end	end	end	end	end	end	end	end	
gradual	impressed	worst	end	end	end	end	end	end	end	
bought	accurate	bedside	recent	doesnt	fault	end	end	end	end	
similar	sturdy	worst	end	end	end	end	end	end	end	
office	flimsy	located	helpful	impressed	end	end	end	end	end	
similar	noise	end	end	end	end	end	end	end	end	
dst	easier	flimsy	older	soothing	impressed	cheap	end	end	end	
file	card	accurate	horrible	bigger	previous	larger	end	end	end	
average coherence	-700.9239697872031
