lens	picture	canon	feature	easy	price	sony	camcorder	light	digital	
huge	ease	special	intuitive	obvious	durable	everyday	extreme	proper	size	
glad	seconds	careful	cisco	eos	crazy	hawaii	elph	recent	pants	
video	image	color	shooting	picture	performance	sound	hd	audio	format	
setting	resolution	decent	outstanding	iso	high	bulky	brightness	middle	lower	
picture	photo	viewfinder	flash	instruction	grainy	step	acceptable	difficult	email	
battery	case	life	charger	extra	power	flash	main	hour	bigger	
customer	simple	novice	support	expert	foscam	xt	rebel	vendor	grandson	
money	tape	tripod	bag	stick	pocket	purse	focal	worth	mail	
memory	card	setting	action	hope	widescreen	learning	slot	av	specific	
kind	wrong	sensitive	ideal	versatile	potential	cold	wind	weather	temperature	
movie	christmas	vacation	birthday	wedding	home	release	honeymoon	holiday	party	
low	light	mode	higher	average	expectation	high	grainy	satisfied	steady	
software	dslr	computer	photography	video	binoculars	trip	usb	place	tv	
sd	card	video	youtube	facebook	school	memory	neat	instant	cheaper	
elph	bigger	glare	server	tricky	tricky	tricky	tricky	tricky	tricky	
worth	impressed	lumix	accurate	spare	detailed	foscam	pound	church	tricky	
cheaper	foscam	brother	earlier	impressed	sturdy	optura	detailed	tricky	tricky	
mp	happier	sharper	frustrating	worst	tricky	tricky	tricky	tricky	tricky	
easier	happier	rich	seconds	tricky	tricky	tricky	tricky	tricky	tricky	
worth	bigger	rich	significant	beware	sensor	tricky	tricky	tricky	tricky	
specific	rich	impressed	cheaper	fringing	leica	tricky	tricky	tricky	tricky	
super	beware	glare	bloggie	panorama	past	tremendous	cheaper	ca	tricky	
impressed	past	spare	optura	dont	ca	security	tricky	tricky	tricky	
handycam	worth	proper	late	grainy	cheaper	cybershot	frustrating	active	sony	
cheaper	rich	phenomenal	minus	countless	worst	tricky	tricky	tricky	tricky	
impressed	cheaper	smallest	ca	tricky	tricky	tricky	tricky	tricky	tricky	
inch	impressed	today	optura	newer	nightshot	tricky	tricky	tricky	tricky	
newer	bunch	today	rich	pro	xsus	late	similar	prosumer	clearer	
direct	xsus	numerous	cf	xtus	extreme	beware	wall	tricky	tricky	
average coherence	-867.1027719670125
