sound	battery	button	feature	song	remote	easy	music	disc	dvd	
price	range	antenna	size	model	main	drawback	bulky	worth	biggest	
tape	alarm	deck	wall	road	door	window	shower	tiny	strap	
seconds	ear	head	hand	back	phone	finger	plug	worth	bumpy	
refund	folder	larger	worth	regular	cheaper	slightest	riovolt	koss	clock	
car	kit	adapter	electronics	construction	stock	equipment	cassette	sale	retail	
music	clear	plastic	blue	sound	color	heavy	rock	black	reasonable	
money	stereo	computer	worth	waste	laser	adaptor	motor	system	auxiliary	
star	line	point	pack	bottom	everyday	inch	mediocre	newer	today	
radio	tv	light	reception	station	fm	dvd	clock	movie	shower	
noise	setting	weather	luck	noisy	score	pass	disappointment	beginning	distortion	
decent	preset	station	rating	sd	boy	equalizer	slimx	confusing	hundred	
kind	limited	sensitive	anti	panasonics	programmable	upgradable	ideal	newer	horrible	
version	multiple	snooze	plays	riovolt	koss	software	decent	setup	tuning	
headphone	speaker	bass	picture	sound	boost	recorder	lover	mid	past	
average coherence	-1143.7440340779567
