driver	power	performance	gtx	setting	graphic	price	game	case	evga	
video	game	computer	graphic	money	older	setting	picture	movie	software	
fast	google	lga	vertex	fix	pro	worse	slower	gamer	playable	
installation	playback	component	configuration	processing	sim	documentation	msrp	simple	switching	
windows	xp	driver	vista	linux	pc	experience	index	score	ultimate	
monitor	screen	window	dvi	resolution	display	dual	adapter	port	lcd	
overclock	customer	setting	highest	lag	service	trixx	sata	gig	oem	
star	straight	effective	wars	republic	docking	muy	trick	review	feedback	
fan	geforce	noise	decent	speed	compatible	quiet	loud	startech	quieter	
texture	cheap	stream	lack	minimal	intense	pixel	ancient	special	fancy	
stock	support	tech	media	center	delivery	slus	release	retail	sale	
powerful	happier	ca	brother	dud	laggy	gtx	overclocked	fresh	hard	
result	question	condition	material	bsod	slower	flawless	mark	tarjeta	backplate	
cd	driver	ti	latest	gold	clocks	copper	fix	worse	larger	
black	screen	blue	red	clear	ready	primary	hiccup	hard	green	
average coherence	-1216.2159408025575
