sound	ear	pair	bass	comfortable	music	earbud	head	price	cord	
plastic	audiophile	stylish	worth	easier	portapro	newer	shorter	grado	pair	
balanced	careful	stuff	trouble	jazz	alright	internet	bent	rca	freq	
hard	soft	glass	reasonable	simple	plastic	price	wall	floor	rough	
car	mind	motorcycle	airplane	bus	mm	inside	definition	worse	today	
music	speaker	movie	construction	customer	song	video	electronics	service	inexpensive	
bass	cost	charge	guitar	genre	soundstage	previous	detailed	dont	adjustment	
response	price	bass	point	bulky	complaint	worth	impression	ohm	session	
money	device	headphones	laptop	worth	phenomenal	previous	inexpensive	audible	tune	
purchase	huge	price	house	buy	home	option	stock	worth	gaming	
battery	cable	star	headband	clip	case	wire	signal	equipment	workout	
noise	background	reduction	harsh	pillow	question	abuse	additional	impressive	cancelling	
gym	canal	noisy	office	rugged	addition	jlab	secure	library	today	
place	friend	weight	inline	regular	ample	phone	newer	line	earpad	
frequency	difference	range	high	low	equal	mode	maximum	regular	senn	
average coherence	-1162.3968067858166
