screen	garmin	watch	display	rate	heart	easy	color	price	lcd	
friend	place	weight	height	age	email	size	adjustment	adjustable	satelite	
difference	color	reproduction	scaling	frustrating	inaccurate	bigger	worthwhile	worst	pro	
black	white	screen	race	blue	kind	green	gray	sensitive	chance	
mode	range	accuracy	bezel	computer	average	price	television	preset	radio	
tv	dvd	speaker	hd	intuitive	player	srgb	printer	mouse	keyboard	
red	deep	accurate	noticable	specific	worthwhile	today	impressed	cheaper	clunky	
design	decent	multiple	minus	potential	measurement	extended	viewable	everyday	critical	
picture	video	image	card	graphic	text	sharp	photo	sound	game	
night	light	backlight	christmas	temperature	heat	landscape	noise	portrait	timer	
replacement	model	warranty	price	delivery	reasonable	bonus	impressed	specific	awful	
cheap	quick	favorite	interesting	ease	convenient	free	uniformity	frustration	osd	
port	usb	cable	laptop	bulky	power	dvi	house	speaker	equipment	
tool	machine	instruction	process	grainy	worse	clearer	readable	uneven	sceptre	
strap	road	native	tree	resolution	desk	window	wall	glass	dot	
average coherence	-1250.4095249210773
