ipod	player	zen	creative	vision	screen	battery	device	song	apple	
warranty	model	replacement	service	drawback	price	refund	part	bonus	delivery	
intuitive	main	luck	email	birthday	size	weight	term	reasonable	worst	
case	small	charger	screen	cover	leather	bag	pouch	part	silicone	
star	real	scratch	machine	person	similar	investment	present	equipment	cut	
button	fm	radio	tuner	recorder	voice	reception	feature	reset	jukebox	
movie	separate	hell	limited	invisible	book	avus	rca	blah	shield	
picture	wall	charger	app	slide	cable	glass	circuit	class	majority	
video	music	audio	photo	sound	file	playlist	software	format	movie	
sd	card	eq	bass	setting	micro	iaudio	cycle	brother	pro	
kinda	easier	custom	worst	hype	ematic	tiny	jack	trial	job	
adapter	usb	cable	ur	happier	helpful	frustrating	enjoyable	past	today	
screen	point	color	line	microphone	vibrant	bright	display	pro	beautiful	
version	decent	bulky	codec	wide	similar	definition	newer	harder	firmware	
computer	tv	money	radio	cable	car	usb	light	show	stereo	
average coherence	-1251.012184444245
